APC,Provider State,Outpatient Services,Average Estimated Submitted Charges,Average Total Payments
0012 - Level I Debridement & Destruction,UT,7141,33.35528077,14.65313542
0012 - Level I Debridement & Destruction,VA,5425,95.720247,15.09402396
0012 - Level I Debridement & Destruction,VT,3203,49.5213862,16.6391508
0012 - Level I Debridement & Destruction,WA,8340,60.97890288,16.63152038
0012 - Level I Debridement & Destruction,WI,13950,32.88824731,15.81368746
0012 - Level I Debridement & Destruction,WV,43,53.78139535,13.35
0013 - Level II Debridement & Destruction,AK,699,237.1381259,73.60742489
0013 - Level II Debridement & Destruction,AL,2096,355.9337214,48.52864504
0013 - Level II Debridement & Destruction,AR,5092,162.7576414,50.94263551
0013 - Level II Debridement & Destruction,AZ,5113,277.9239018,56.86648934
0013 - Level II Debridement & Destruction,CA,21160,251.5371158,65.76086106
0013 - Level II Debridement & Destruction,CO,5031,233.3535758,56.79398927
0013 - Level II Debridement & Destruction,CT,3478,174.8192754,61.66110408
0013 - Level II Debridement & Destruction,DC,440,234.2393182,59.12743182
0013 - Level II Debridement & Destruction,DE,311,170.4428296,59.04180064
0013 - Level II Debridement & Destruction,FL,16041,231.873675,55.39981111
0013 - Level II Debridement & Destruction,GA,9489,212.6253652,55.27042997
0013 - Level II Debridement & Destruction,HI,2797,146.5539435,57.30289596
0013 - Level II Debridement & Destruction,IA,11323,109.8697827,53.72175042
0013 - Level II Debridement & Destruction,ID,1755,97.93178348,58.46306553
0013 - Level II Debridement & Destruction,IL,16813,175.3462107,55.30341402
0013 - Level II Debridement & Destruction,IN,6816,183.6594601,54.36170041
0013 - Level II Debridement & Destruction,KS,3615,208.5016929,53.69254219
0013 - Level II Debridement & Destruction,KY,2256,227.0865647,53.17315603
0013 - Level II Debridement & Destruction,LA,3539,193.2610427,53.64126024
0013 - Level II Debridement & Destruction,MA,26851,313.2794414,62.48974787
0013 - Level II Debridement & Destruction,ME,6139,138.9118668,57.60620622
0013 - Level II Debridement & Destruction,MI,17502,166.7912341,56.10792024
0013 - Level II Debridement & Destruction,MN,20985,117.5161725,56.59880105
0013 - Level II Debridement & Destruction,MO,13447,139.86548,51.80097866
0013 - Level II Debridement & Destruction,MS,4313,219.8254556,51.34691398
0013 - Level II Debridement & Destruction,MT,7088,85.24098476,55.78890519
0013 - Level II Debridement & Destruction,NC,12832,174.5649829,52.52809071
0013 - Level II Debridement & Destruction,ND,8721,93.95902305,55.99481596
0013 - Level II Debridement & Destruction,NE,2646,178.3770144,57.51873016
0013 - Level II Debridement & Destruction,NH,7811,150.2337102,60.5072001
0013 - Level II Debridement & Destruction,NJ,3379,357.564818,63.51193548
0013 - Level II Debridement & Destruction,NM,1818,172.5511826,59.31056656
0013 - Level II Debridement & Destruction,NV,2098,414.3537131,65.67789323
0013 - Level II Debridement & Destruction,NY,10996,169.4624609,62.6387159
0013 - Level II Debridement & Destruction,OH,11920,160.0067131,54.00482215
0013 - Level II Debridement & Destruction,OK,1836,258.5285076,53.94269063
0013 - Level II Debridement & Destruction,OR,6680,172.0183578,58.89717515
0013 - Level II Debridement & Destruction,PA,28220,252.7442835,51.94453614
0013 - Level II Debridement & Destruction,RI,280,284.3441429,59.20842857
0013 - Level II Debridement & Destruction,SC,5053,224.8109361,52.11159113
0013 - Level II Debridement & Destruction,SD,2695,129.4846234,55.45184787
0013 - Level II Debridement & Destruction,TN,4641,202.9818918,53.03447317
0013 - Level II Debridement & Destruction,TX,42123,207.7528787,52.55253116
0013 - Level II Debridement & Destruction,UT,5667,131.0167637,52.49986942
0013 - Level II Debridement & Destruction,VA,9754,171.4191932,54.63214681
0013 - Level II Debridement & Destruction,VT,3115,292.4494639,54.83661637
0013 - Level II Debridement & Destruction,WA,17371,139.7589868,57.16468597
0013 - Level II Debridement & Destruction,WI,25071,138.196048,57.41512664
0013 - Level II Debridement & Destruction,WV,3062,274.0028315,51.35231548
0013 - Level II Debridement & Destruction,WY,133,143.7236842,45.96428571
0015 - Level III Debridement & Destruction,AK,575,324.4323478,121.7513391
0015 - Level III Debridement & Destruction,AL,8456,389.8918567,85.50478595
0015 - Level III Debridement & Destruction,AR,10370,274.7172768,92.22288332
0015 - Level III Debridement & Destruction,AZ,9709,368.3061273,101.0078165
0015 - Level III Debridement & Destruction,CA,26667,408.3010282,113.0049848
0015 - Level III Debridement & Destruction,CO,5035,445.8010904,100.4150824
0015 - Level III Debridement & Destruction,CT,7672,284.8080109,110.0647432
0015 - Level III Debridement & Destruction,DC,546,351.671978,103.5153846
0015 - Level III Debridement & Destruction,DE,1729,200.7722672,103.4651359
0015 - Level III Debridement & Destruction,FL,37793,398.5631786,94.64980631
0015 - Level III Debridement & Destruction,GA,15983,343.9661734,92.50210161
0015 - Level III Debridement & Destruction,HI,958,232.6685595,101.1296138
0015 - Level III Debridement & Destruction,IA,12463,222.4392402,92.34269919
0015 - Level III Debridement & Destruction,ID,954,205.1238155,100.0378512
0015 - Level III Debridement & Destruction,IL,28187,312.1023465,97.51818959
0015 - Level III Debridement & Destruction,IN,11467,329.5170507,93.12091742
0015 - Level III Debridement & Destruction,KS,5145,350.1221166,92.7051001
0015 - Level III Debridement & Destruction,KY,9381,321.9498198,90.87299861
0015 - Level III Debridement & Destruction,LA,6300,264.9569302,88.91509683
0015 - Level III Debridement & Destruction,MA,21395,363.106108,107.5507039
0015 - Level III Debridement & Destruction,ME,3922,218.6969709,99.11344212
0015 - Level III Debridement & Destruction,MI,15237,240.1568642,98.80309575
0015 - Level III Debridement & Destruction,MN,11705,208.6333114,102.2698394
0015 - Level III Debridement & Destruction,MO,12064,291.5912334,90.28864556
0015 - Level III Debridement & Destruction,MS,7208,294.3110794,87.6735641
0015 - Level III Debridement & Destruction,MT,3446,120.6815032,99.54118108
0015 - Level III Debridement & Destruction,NC,19406,275.7195769,93.55917654
0015 - Level III Debridement & Destruction,ND,2282,175.3654251,98.63641104
0015 - Level III Debridement & Destruction,NE,3188,233.0400878,94.04697616
0015 - Level III Debridement & Destruction,NH,5659,290.9481728,108.3001926
0015 - Level III Debridement & Destruction,NJ,7121,417.3092852,108.8795956
0015 - Level III Debridement & Destruction,NM,2780,331.7782878,100.3915683
0015 - Level III Debridement & Destruction,NV,1594,381.6263927,100.4525659
0015 - Level III Debridement & Destruction,NY,16433,280.151144,102.5345609
0015 - Level III Debridement & Destruction,OH,14403,303.7563959,91.74769145
0015 - Level III Debridement & Destruction,OK,6205,422.1849944,93.32920709
0015 - Level III Debridement & Destruction,OR,6772,303.9130035,104.1623597
0015 - Level III Debridement & Destruction,PA,32773,336.6221896,94.92488298
0015 - Level III Debridement & Destruction,RI,2992,485.4186999,101.5212366
0015 - Level III Debridement & Destruction,SC,9209,282.1713986,93.06258008
0015 - Level III Debridement & Destruction,SD,2195,210.6603918,104.82441
0015 - Level III Debridement & Destruction,TN,17398,282.8778112,85.7959001
0015 - Level III Debridement & Destruction,TX,34637,385.5634024,93.26856454
0015 - Level III Debridement & Destruction,UT,4407,215.006315,91.8656501
0015 - Level III Debridement & Destruction,VA,9653,363.0789651,93.45548949
0015 - Level III Debridement & Destruction,VT,1674,454.3250299,105.3159498
0015 - Level III Debridement & Destruction,WA,14028,253.1195452,102.6295317
0015 - Level III Debridement & Destruction,WI,15094,295.6564032,99.57165695
0015 - Level III Debridement & Destruction,WV,1787,312.5851819,89.55139899
0015 - Level III Debridement & Destruction,WY,1277,382.8496085,97.28094753
0019 - Level I Excision/ Biopsy,AL,178,5162.11736,307.2783708
0019 - Level I Excision/ Biopsy,AR,185,1594.682973,302.0958378
0019 - Level I Excision/ Biopsy,AZ,106,1347.64217,324.0811321
0019 - Level I Excision/ Biopsy,CA,618,3027.641715,413.3037217
0019 - Level I Excision/ Biopsy,CO,132,904.0037879,348.7689394
0019 - Level I Excision/ Biopsy,CT,500,867.09614,382.7527
0019 - Level I Excision/ Biopsy,DC,21,2577.29381,362.29
0019 - Level I Excision/ Biopsy,DE,91,871.0642857,350.8385714
0019 - Level I Excision/ Biopsy,FL,366,3022.439727,316.2570219
0019 - Level I Excision/ Biopsy,GA,101,1564.013762,322.3080198
0019 - Level I Excision/ Biopsy,IA,474,849.0624473,300.1481646
0019 - Level I Excision/ Biopsy,ID,41,557.5856098,313.542439
0019 - Level I Excision/ Biopsy,IL,1286,1463.277854,331.9954977
0019 - Level I Excision/ Biopsy,IN,243,2413.256584,325.0506584
0019 - Level I Excision/ Biopsy,KS,66,774.1060606,307.9645455
0019 - Level I Excision/ Biopsy,KY,289,2758.083495,311.5483737
0019 - Level I Excision/ Biopsy,LA,92,2597.385435,306.2821739
0019 - Level I Excision/ Biopsy,MA,2335,976.7009422,359.1393919
0019 - Level I Excision/ Biopsy,ME,1010,476.8047426,319.5741485
0019 - Level I Excision/ Biopsy,MI,506,1623.394506,340.083834
0019 - Level I Excision/ Biopsy,MN,719,723.1714743,339.6648261
0019 - Level I Excision/ Biopsy,MO,1000,659.40065,302.34899
0019 - Level I Excision/ Biopsy,MS,130,4331.679692,305.9823077
0019 - Level I Excision/ Biopsy,NC,895,1190.258849,311.1375866
0019 - Level I Excision/ Biopsy,ND,649,416.7054545,309.0823112
0019 - Level I Excision/ Biopsy,NH,360,716.6821111,370.0453889
0019 - Level I Excision/ Biopsy,NJ,210,3484.244857,383.9825714
0019 - Level I Excision/ Biopsy,NM,80,830.125625,327.70275
0019 - Level I Excision/ Biopsy,NY,1289,669.532886,314.8865477
0019 - Level I Excision/ Biopsy,OH,635,1477.784378,306.5735276
0019 - Level I Excision/ Biopsy,OK,94,1908.545638,317.468617
0019 - Level I Excision/ Biopsy,OR,171,574.6157895,334.8518713
0019 - Level I Excision/ Biopsy,PA,1044,1536.228008,317.1228831
0019 - Level I Excision/ Biopsy,RI,148,1541.218041,329.0197297
0019 - Level I Excision/ Biopsy,SC,172,4056.338837,313.53
0019 - Level I Excision/ Biopsy,SD,89,680.3575281,329.9798876
0019 - Level I Excision/ Biopsy,TN,137,1029.156058,311.0240146
0019 - Level I Excision/ Biopsy,TX,1750,1030.80248,303.6187943
0019 - Level I Excision/ Biopsy,UT,200,491.9715,307.4532
0019 - Level I Excision/ Biopsy,VA,793,1490.470668,310.1917528
0019 - Level I Excision/ Biopsy,VT,362,886.3202762,339.621105
0019 - Level I Excision/ Biopsy,WA,623,732.6213644,347.6831782
0019 - Level I Excision/ Biopsy,WI,1143,490.8620997,325.8566142
0019 - Level I Excision/ Biopsy,WV,210,1477.526048,301.1789048
0020 - Level II Excision/ Biopsy,AL,1068,3592.890758,475.2353558
0020 - Level II Excision/ Biopsy,AR,443,2984.309323,534.5285102
0020 - Level II Excision/ Biopsy,AZ,345,3078.412174,569.4026087
0020 - Level II Excision/ Biopsy,CA,2419,4078.100604,666.5181852
0020 - Level II Excision/ Biopsy,CO,151,3112.157947,564.2997351
0020 - Level II Excision/ Biopsy,CT,777,2221.180051,667.3615444
0020 - Level II Excision/ Biopsy,DC,37,3836.074595,604.65
0020 - Level II Excision/ Biopsy,DE,89,2148.743483,599.798764
0020 - Level II Excision/ Biopsy,FL,1705,4192.767015,542.7205161
0020 - Level II Excision/ Biopsy,GA,695,3874.462691,545.6214101
0020 - Level II Excision/ Biopsy,HI,86,1467.681977,622.5122093
0020 - Level II Excision/ Biopsy,IA,492,1937.568943,539.2786382
0020 - Level II Excision/ Biopsy,ID,61,1035.342295,556.5729508
0020 - Level II Excision/ Biopsy,IL,1568,3013.446078,570.0948852
0020 - Level II Excision/ Biopsy,IN,751,2888.239348,552.9537017
0020 - Level II Excision/ Biopsy,KS,186,3288.026882,530.5474731
0020 - Level II Excision/ Biopsy,KY,581,3411.839742,527.3164716
0020 - Level II Excision/ Biopsy,LA,339,3270.223097,521.0029794
0020 - Level II Excision/ Biopsy,MA,2029,1599.269369,624.5677181
0020 - Level II Excision/ Biopsy,ME,563,1056.056075,550.9123091
0020 - Level II Excision/ Biopsy,MI,920,2622.165359,575.5029565
0020 - Level II Excision/ Biopsy,MN,660,1708.778348,588.3068182
0020 - Level II Excision/ Biopsy,MO,829,2027.409903,530.5130398
0020 - Level II Excision/ Biopsy,MS,397,3149.614156,519.9855668
0020 - Level II Excision/ Biopsy,MT,208,1082.297212,568.3771635
0020 - Level II Excision/ Biopsy,NC,1975,2100.837418,532.9594481
0020 - Level II Excision/ Biopsy,ND,365,874.271726,557.8431507
0020 - Level II Excision/ Biopsy,NE,353,2186.313116,525.2700283
0020 - Level II Excision/ Biopsy,NH,160,1209.248563,623.6324375
0020 - Level II Excision/ Biopsy,NJ,1001,4282.811319,649.1241359
0020 - Level II Excision/ Biopsy,NM,101,1509.071386,559.540198
0020 - Level II Excision/ Biopsy,NV,85,2627.605294,587.3169412
0020 - Level II Excision/ Biopsy,NY,1471,2283.718504,597.2276547
0020 - Level II Excision/ Biopsy,OH,1721,2351.167699,529.5190296
0020 - Level II Excision/ Biopsy,OK,498,2879.232871,509.3142771
0020 - Level II Excision/ Biopsy,OR,181,1757.934254,601.2216022
0020 - Level II Excision/ Biopsy,PA,1819,3077.5479,550.228829
0020 - Level II Excision/ Biopsy,RI,285,2059.299544,604.5337544
0020 - Level II Excision/ Biopsy,SC,490,3797.020184,535.8320204
0020 - Level II Excision/ Biopsy,SD,128,2267.010703,548.8454688
0020 - Level II Excision/ Biopsy,TN,666,2405.096982,500.8204655
0020 - Level II Excision/ Biopsy,TX,1981,3333.978677,536.5832458
0020 - Level II Excision/ Biopsy,UT,120,1524.509417,547.7681667
0020 - Level II Excision/ Biopsy,VA,621,3395.515813,540.2793237
0020 - Level II Excision/ Biopsy,VT,267,1084.14764,595.9289888
0020 - Level II Excision/ Biopsy,WA,635,2136.338661,603.8332126
0020 - Level II Excision/ Biopsy,WI,418,1575.244713,569.1190191
0020 - Level II Excision/ Biopsy,WV,625,1978.001808,504.86872
0073 - Level III Endoscopy Upper Airway,AK,23,383.386087,335.92
0073 - Level III Endoscopy Upper Airway,AR,52,363.7328846,251.3961538
0073 - Level III Endoscopy Upper Airway,AZ,48,844.1604167,318.5495833
0073 - Level III Endoscopy Upper Airway,CA,1130,687.5196726,352.447177
0073 - Level III Endoscopy Upper Airway,CO,214,815.6011215,299.5635514
0073 - Level III Endoscopy Upper Airway,DC,188,975.903883,292.4989894
0073 - Level III Endoscopy Upper Airway,FL,184,815.2384239,276.8167935
0073 - Level III Endoscopy Upper Airway,GA,242,1101.343182,281.1388017
0073 - Level III Endoscopy Upper Airway,IA,162,824.6111111,273.0979012
0073 - Level III Endoscopy Upper Airway,IL,491,723.1032587,294.155499
0073 - Level III Endoscopy Upper Airway,KY,279,1280.666129,265.9688172
0073 - Level III Endoscopy Upper Airway,LA,107,741.0065421,263.5664486
0073 - Level III Endoscopy Upper Airway,MA,690,1698.385507,326.8343768
0073 - Level III Endoscopy Upper Airway,ME,14,399.5714286,284.82
0073 - Level III Endoscopy Upper Airway,MI,466,594.3911803,290.863133
0073 - Level III Endoscopy Upper Airway,MN,135,915.7733333,291.2965926
0073 - Level III Endoscopy Upper Airway,MO,95,518.3052632,254.4247368
0073 - Level III Endoscopy Upper Airway,MT,53,483.1781132,288.254717
0073 - Level III Endoscopy Upper Airway,NC,857,548.5269195,273.9936056
0073 - Level III Endoscopy Upper Airway,ND,12,354.68,291
0073 - Level III Endoscopy Upper Airway,NH,17,2167,330.42
0073 - Level III Endoscopy Upper Airway,NM,43,375,277.532093
0073 - Level III Endoscopy Upper Airway,NY,56,1096.59,345.51
0073 - Level III Endoscopy Upper Airway,OH,419,1033.34136,272.3872792
0073 - Level III Endoscopy Upper Airway,OR,255,899.427451,307.9898039
0073 - Level III Endoscopy Upper Airway,PA,109,881.8198165,275.0238532
0073 - Level III Endoscopy Upper Airway,RI,97,984.3343299,316.9271134
0073 - Level III Endoscopy Upper Airway,SC,322,1266.754658,269.5730435
0073 - Level III Endoscopy Upper Airway,TN,486,923.5843621,279.025
0073 - Level III Endoscopy Upper Airway,TX,64,977.2126563,263.1685938
0073 - Level III Endoscopy Upper Airway,UT,120,643.4898333,272.3280833
0073 - Level III Endoscopy Upper Airway,VA,39,575.2051282,277.01
0073 - Level III Endoscopy Upper Airway,VT,29,1079.758621,319.44
0073 - Level III Endoscopy Upper Airway,WA,873,772.5159107,307.1244788
0073 - Level III Endoscopy Upper Airway,WI,244,731.2459016,289.4618852
0074 - Level IV Endoscopy Upper Airway,AL,156,9446.195513,1343.327949
0074 - Level IV Endoscopy Upper Airway,AR,165,2790.311091,1290.335091
0074 - Level IV Endoscopy Upper Airway,AZ,171,5700.878713,1379.091696
0074 - Level IV Endoscopy Upper Airway,CA,763,10419.55178,1784.694128
0074 - Level IV Endoscopy Upper Airway,CO,98,5610.868673,1520.897245
0074 - Level IV Endoscopy Upper Airway,CT,177,4942.631412,1672.070791
0074 - Level IV Endoscopy Upper Airway,DC,76,7956.609605,1516.752895
0074 - Level IV Endoscopy Upper Airway,DE,44,4721.293182,1540.472955
0074 - Level IV Endoscopy Upper Airway,FL,621,11768.11056,1417.822464
0074 - Level IV Endoscopy Upper Airway,GA,292,5801.284658,1404.651438
0074 - Level IV Endoscopy Upper Airway,IA,189,5418.49127,1366.441587
0074 - Level IV Endoscopy Upper Airway,ID,12,5790.085,1251.623333
0074 - Level IV Endoscopy Upper Airway,IL,654,5097.128394,1407.473135
0074 - Level IV Endoscopy Upper Airway,IN,248,6275.738306,1439.39
0074 - Level IV Endoscopy Upper Airway,KS,42,9844.503095,1431.204048
0074 - Level IV Endoscopy Upper Airway,KY,220,6318.292318,1388.995909
0074 - Level IV Endoscopy Upper Airway,LA,304,3966.775132,1373.850066
0074 - Level IV Endoscopy Upper Airway,MA,374,4879.182995,1659.705775
0074 - Level IV Endoscopy Upper Airway,ME,113,3284.536991,1454.140177
0074 - Level IV Endoscopy Upper Airway,MI,573,4832.747155,1510.891274
0074 - Level IV Endoscopy Upper Airway,MN,273,5449.865824,1543.054945
0074 - Level IV Endoscopy Upper Airway,MO,274,7532.954818,1348.382847
0074 - Level IV Endoscopy Upper Airway,MS,61,7468.115082,1348.865574
0074 - Level IV Endoscopy Upper Airway,MT,26,1912.115385,1511.47
0074 - Level IV Endoscopy Upper Airway,NC,871,3862.212744,1240.437405
0074 - Level IV Endoscopy Upper Airway,ND,78,3262.274744,1493.468077
0074 - Level IV Endoscopy Upper Airway,NE,60,4329.020333,1447.203333
0074 - Level IV Endoscopy Upper Airway,NH,67,3679.495224,1653.273582
0074 - Level IV Endoscopy Upper Airway,NJ,249,7141.894217,1696.857711
0074 - Level IV Endoscopy Upper Airway,NV,25,6750.45,1507.8856
0074 - Level IV Endoscopy Upper Airway,NY,488,5398.221516,1630.049385
0074 - Level IV Endoscopy Upper Airway,OH,359,7168.597827,1400.528468
0074 - Level IV Endoscopy Upper Airway,OK,80,7942.407375,1364.047
0074 - Level IV Endoscopy Upper Airway,OR,327,2903.973272,1409.462691
0074 - Level IV Endoscopy Upper Airway,PA,484,7399.789174,1466.973905
0074 - Level IV Endoscopy Upper Airway,RI,21,1950.471429,1659.2
0074 - Level IV Endoscopy Upper Airway,SC,179,6533.833408,1375.56514
0074 - Level IV Endoscopy Upper Airway,SD,28,4995.577857,1457.489286
0074 - Level IV Endoscopy Upper Airway,TN,452,7328.525973,1394.942257
0074 - Level IV Endoscopy Upper Airway,TX,570,7147.17,1405.987982
0074 - Level IV Endoscopy Upper Airway,UT,56,2922.99125,1360.280893
0074 - Level IV Endoscopy Upper Airway,VA,345,6602.251217,1400.444957
0074 - Level IV Endoscopy Upper Airway,VT,80,2301.8185,1642.608125
0074 - Level IV Endoscopy Upper Airway,WA,212,5330.256509,1503.02316
0074 - Level IV Endoscopy Upper Airway,WI,179,4539.039888,1494.677095
0074 - Level IV Endoscopy Upper Airway,WV,95,4079.298316,1293.201263
0078 - Level III Pulmonary Treatment,AK,202,775.5385149,113.8065842
0078 - Level III Pulmonary Treatment,AL,2462,766.0724086,87.37182778
0078 - Level III Pulmonary Treatment,AR,1898,419.1488356,88.75236038
0078 - Level III Pulmonary Treatment,AZ,4024,493.430328,100.429242
0078 - Level III Pulmonary Treatment,CA,14419,1030.079614,118.5223108
0078 - Level III Pulmonary Treatment,CO,3001,553.8260546,99.90721426
0078 - Level III Pulmonary Treatment,CT,3661,444.1097241,113.4500574
0078 - Level III Pulmonary Treatment,DC,680,313.8431618,100.8645294
0078 - Level III Pulmonary Treatment,DE,1167,266.1807626,100.0424165
0078 - Level III Pulmonary Treatment,FL,10851,672.4217832,93.74194083
0078 - Level III Pulmonary Treatment,GA,4089,549.8245268,93.35250428
0078 - Level III Pulmonary Treatment,HI,624,434.2089103,105.1325481
0078 - Level III Pulmonary Treatment,IA,3056,391.2969274,93.71965641
0078 - Level III Pulmonary Treatment,ID,1781,226.1631948,94.59235261
0078 - Level III Pulmonary Treatment,IL,12426,573.8380267,97.72330758
0078 - Level III Pulmonary Treatment,IN,7009,491.5795962,94.30507348
0078 - Level III Pulmonary Treatment,KS,2670,491.8022285,91.66949438
0078 - Level III Pulmonary Treatment,KY,4369,508.4505196,89.902607
0078 - Level III Pulmonary Treatment,LA,3695,595.3485602,89.27789716
0078 - Level III Pulmonary Treatment,MA,9228,533.6651257,108.9242133
0078 - Level III Pulmonary Treatment,ME,3595,248.9262726,95.47001391
0078 - Level III Pulmonary Treatment,MI,9096,367.8625967,98.27963171
0078 - Level III Pulmonary Treatment,MN,4749,332.8664266,103.0111771
0078 - Level III Pulmonary Treatment,MO,8178,438.618326,91.57475544
0078 - Level III Pulmonary Treatment,MS,1094,534.685457,87.35185558
0078 - Level III Pulmonary Treatment,MT,977,246.8546366,98.84920164
0078 - Level III Pulmonary Treatment,NC,7545,411.2022995,92.71541551
0078 - Level III Pulmonary Treatment,ND,1224,214.8942157,98.7260049
0078 - Level III Pulmonary Treatment,NE,1367,607.4751939,94.48779078
0078 - Level III Pulmonary Treatment,NH,1753,497.1423503,104.5040787
0078 - Level III Pulmonary Treatment,NJ,4746,739.7043995,109.760866
0078 - Level III Pulmonary Treatment,NM,1431,459.9068344,96.98901468
0078 - Level III Pulmonary Treatment,NV,695,791.3315108,102.9435971
0078 - Level III Pulmonary Treatment,NY,7402,451.1075709,100.4096258
0078 - Level III Pulmonary Treatment,OH,13062,426.2696563,92.98202879
0078 - Level III Pulmonary Treatment,OK,3541,396.654222,91.42143462
0078 - Level III Pulmonary Treatment,OR,2330,478.4973305,103.0057253
0078 - Level III Pulmonary Treatment,PA,13878,750.2292059,94.90852428
0078 - Level III Pulmonary Treatment,RI,985,429.8868426,106.4047005
0078 - Level III Pulmonary Treatment,SC,3967,479.6837888,91.65085455
0078 - Level III Pulmonary Treatment,SD,1153,307.4279705,101.8938942
0078 - Level III Pulmonary Treatment,TN,3885,594.3204118,89.54796654
0078 - Level III Pulmonary Treatment,TX,14495,707.2225285,93.55985926
0078 - Level III Pulmonary Treatment,UT,2323,265.8444382,93.70072751
0078 - Level III Pulmonary Treatment,VA,6483,483.2632793,93.05957581
0078 - Level III Pulmonary Treatment,VT,1160,343.7009569,104.3142586
0078 - Level III Pulmonary Treatment,WA,4333,408.368306,103.2417078
0078 - Level III Pulmonary Treatment,WI,6701,404.1027041,97.93065513
0078 - Level III Pulmonary Treatment,WV,2296,323.6680444,86.6477047
0078 - Level III Pulmonary Treatment,WY,426,401.9533099,100.8880516
0096 - Level II Noninvasive Physiologic Studies,AK,66,630.9318182,120.4845455
0096 - Level II Noninvasive Physiologic Studies,AL,4771,731.8042318,94.69085097
0096 - Level II Noninvasive Physiologic Studies,AR,2807,589.6492875,96.91633773
0096 - Level II Noninvasive Physiologic Studies,AZ,1316,737.4769757,104.4776444
0096 - Level II Noninvasive Physiologic Studies,CA,12960,1087.156823,122.7446219
0096 - Level II Noninvasive Physiologic Studies,CO,1216,963.3627632,107.1182237
0096 - Level II Noninvasive Physiologic Studies,CT,2544,747.0312618,120.6493947
0096 - Level II Noninvasive Physiologic Studies,DC,350,602.7355714,109.4432
0096 - Level II Noninvasive Physiologic Studies,DE,2567,902.1549474,110.0042462
0096 - Level II Noninvasive Physiologic Studies,FL,9482,835.7516927,102.203591
0096 - Level II Noninvasive Physiologic Studies,GA,5929,646.2093338,100.3118384
0096 - Level II Noninvasive Physiologic Studies,HI,111,429.6576577,114.7757658
0096 - Level II Noninvasive Physiologic Studies,IA,2788,577.6833142,101.1464993
0096 - Level II Noninvasive Physiologic Studies,ID,539,310.8504082,102.906846
0096 - Level II Noninvasive Physiologic Studies,IL,16547,835.4674992,105.264926
0096 - Level II Noninvasive Physiologic Studies,IN,9291,710.6981638,101.1426542
0096 - Level II Noninvasive Physiologic Studies,KS,1038,936.2083911,98.11330443
0096 - Level II Noninvasive Physiologic Studies,KY,5960,676.6142617,97.47325839
0096 - Level II Noninvasive Physiologic Studies,LA,1517,614.4512393,96.84793013
0096 - Level II Noninvasive Physiologic Studies,MA,7803,768.7844662,118.0477714
